SNAP
NIO
AMD
AAL
GE
VIAC
PLTR
WFC
HBAN
PBR
ITUB
BBD
NOK
FCX
HPE
CS
CCL
C
MU
TME
VALE
SIRI
EDU
KMI
NCLH
VIPS
BMY
PCG
PINS
UAL
UMC
SLB
TWTR
HAL
BP
RLX
MS
KEY
RF
ZNGA
KGC
GOLD
BA
NLY
OXY
GM
BCS
MRVL
PTON
DISCA
BSX
COIN
TEVA
QS
IBN
DAL
MO
XPEV
UBER
OPEN
SQ
KMB
BKR
MRK
AMAT
LUMN
QCOM
NUAN
SCHW
CNP
RTX
NET
CVX
FITB
WMB
CARR
MDLZ
AZN
TFC
FUTU
AXP
USB
HPQ
CX
NEE
FE
KR
RUN
DOW
COP
ING
BX
PPD
AVTR
LVS
AMCR
GILD
HST
BIDU
HON
TJX
SID
CFG
LYG
EBAY
PPL
LUV
DVN
BCE
GSK
WY
NEM
VTRS
KHC
INFY
ABBV
CPNG
SBUX
IBM
BK
DISH
ON
DBX
EXC
STX
GPS
WBA
ERIC
MGM
CVS
MPC
OKE
IVZ
MXIM
NUE
GME
ATVI
IPG
FTCH
CL
FISV
SO
RDS.A
MT
MDT
YSG
PM
RKT
CVE
HIG
LOW
NLOK
TAL
GLW
DHR
APH
SAN
TXN
ATUS
CAT
ADI
MFC
WORK
VICI
AES
D
CNC
MET
AIG
PENN
SU
MOS
NI
NXPI
NWSA
CSX
SYF
WU
AEP
GIS
WDC
VLO
UWMC
TMUS
XEL
WRK
UNP
CHWY
DELL
IP
DUK
KSU
KDP
AFL
ARVL
PAGS
RBLX
SE
HOLX
CAG
VTR
HWM
DDOG
NWL
WYNN
VFC
OTIS
TECK
COF
RCL
CTVA
LLY
BEN
ZM
TGT
SWKS
AMGN
EW
CNI
UPS
ALLY
CTSH
ENB
BAX
EMR
EA
EQH
SPG
DB
AMX
INVH
UBS
MCHP
FIS
ENPH
AVGO
TPR
CGC
SPOT
FAST
STT
AKAM
OMC
DFS
INFO
EOG
FTV
GS
ADM
KKR
MCD
JCI
YNDX
DASH
DD
LB
UDR
PNC
O
BEKE
EQR
CNHI
RIO
UL
CNQ
XRAY
PSX
CDNS
MTCH
PHM
MPW
CPB
APO
SYY
IR
PFG
MMM
CHKP
FOXA
TDOC
K
HRL
LU
IRM
ELAN
PGR
XLNX
ARES
HES
BWA
PLD
PCAR
EQNR
BHP
PRU
TRU
HCA
CLX
STLD
MGA
VOD
LEVI
CB
TEL
ETN
MAS
LEN
LULU
CP
ALXN
APTV
IQV
CHGG
DGX
DG
ALB
PEAK
BAM
STLA
EXPE
EIX
WELL
EFX
BBY
YUMC
LNC
BDX
MNST
CF
VIV
PEG
AMT
ACN
A
CZR
LRCX
TAP
ETSY
BMO
TD
U
FDS
WAB
CMS
TS
CHD
DRE
COST
PNR
HLT
ICE
BLDR
CBRE
MKC
CAH
ED
ADP
SNY
PXD
TOT
ATH
